client_id,cin,prenom,nom,genre,date_naissance,ville,region,telephone,email,situation_professionnelle,situation_familiale,niveau_education,revenu_mensuel,agence_id,date_inscription,statut_client
CLI000019,K521947,Karima,Tahiri,F,1966-03-07,Kénitra,Rabat-Salé-Kénitra,+212649682169,karima.568@gmail.com,Fonctionnaire,Marié(e),Bac+3,2074.89,AG013,2016-09-26,Actif
CLI000020,A418635,Soufiane,Berrada,M,1991-06-07,Salé,Rabat-Salé-Kénitra,+212638210242,soufiane.441@gmail.com,Auto-entrepreneur,Divorcé(e),Bac+3,7734.66,AG015,2022-04-16,Actif
CLI000021,T451470,Hicham,Tazi,M,1970-03-23,Khouribga,Béni Mellal-Khénifra,+212641523529,hicham.689@gmail.com,Commerçant,Marié(e),Baccalauréat,6755.53,AG005,2011-11-26,Actif
CLI000022,U703634,Mehdi,Chraibi,M,1995-11-10,Marrakech,Marrakech-Safi,+212661536717,mehdi.507@gmail.com,Artisan,Marié(e),Baccalauréat,13773.91,AG021,2019-04-19,Actif
CLI000023,D578634,Bilal,Idrissi,M,1970-10-12,Meknès,Fès-Meknès,+212672363359,bilal.684@gmail.com,Profession libérale,Divorcé(e),Bac+3,3018.99,AG020,2021-08-14,Inactif
CLI000024,O371782,Wafa,Bakkali,F,1969-04-12,Settat,Casablanca-Settat,+212643183955,wafa.861@gmail.com,Retraité,Divorcé(e),Bac+5,9128.19,AG016,2020-08-24,Actif
CLI000025,R184491,Sanaa,Idrissi,F,1980-08-19,Marrakech,Marrakech-Safi,+212630244148,sanaa.237@gmail.com,Artisan,Marié(e),Doctorat,7522.44,AG007,2015-04-05,Actif
CLI000026,G973349,Samira,Zniber,F,1992-04-20,Settat,Casablanca-Settat,+212662274692,samira.927@gmail.com,Auto-entrepreneur,Célibataire,Bac+5,11478.43,AG013,2011-05-26,Actif
CLI000027,T331251,Hanane,Lahlou,F,1992-08-04,Béni Mellal,Béni Mellal-Khénifra,+212639450273,hanane.280@gmail.com,Artisan,Veuf/Veuve,Sans diplôme,7921.52,AG013,2022-01-27,Actif
CLI000028,A513160,Nadia,El Filali,F,1966-06-14,Settat,Casablanca-Settat,+212685751409,nadia.679@gmail.com,Salarié secteur privé,Célibataire,Doctorat,2972.85,AG014,2021-12-24,Actif
CLI000029,K898207,Nadia,Kettani,F,1978-05-04,Rabat,Rabat-Salé-Kénitra,+212647346970,nadia.771@gmail.com,Auto-entrepreneur,Veuf/Veuve,Bac+2,5942.3,AG003,2018-07-03,Actif
CLI000030,Y132537,Samir,Benjelloun,M,1961-02-26,Meknès,Fès-Meknès,+212636757737,samir.860@gmail.com,Salarié secteur privé,Marié(e),Baccalauréat,11895.03,AG005,2010-11-26,Actif
CLI000031,T884256,Amine,Tahiri,M,1996-09-20,Oujda,Oriental,+212625372341,amine.797@gmail.com,Auto-entrepreneur,Marié(e),Bac+2,8256.92,AG004,2015-10-01,Actif
CLI000032,C720859,Najat,Tahiri,F,1990-08-02,Béni Mellal,Béni Mellal-Khénifra,+212694187049,najat.249@gmail.com,Salarié secteur privé,Divorcé(e),Doctorat,5589.31,AG020,2014-06-13,Inactif
CLI000033,N962276,Samir,Lahlou,M,1988-03-30,Nador,Oriental,+212624165187,samir.444@gmail.com,Commerçant,Veuf/Veuve,Doctorat,4347.94,AG005,2011-07-19,Actif
CLI000034,X721254,Karima,Skalli,F,1996-09-14,Khouribga,Béni Mellal-Khénifra,+212653258988,karima.873@gmail.com,Fonctionnaire,Célibataire,Bac+2,7863.16,AG015,2019-10-09,Actif
CLI000035,P322423,Najat,El Ouazzani,F,1985-03-07,Béni Mellal,Béni Mellal-Khénifra,+212644675473,najat.349@gmail.com,Commerçant,Divorcé(e),Bac+5,4455.72,AG001,2010-08-24,Actif
CLI000036,R894993,Youssef,Benjelloun,M,1991-06-18,Meknès,Fès-Meknès,+212673900135,youssef.662@gmail.com,Retraité,Veuf/Veuve,Bac+3,8126.84,AG001,2020-12-16,Actif
CLI000037,L546173,Tariq,El Ghazi,M,1982-06-21,Meknès,Fès-Meknès,+212683871890,tariq.339@gmail.com,Commerçant,Veuf/Veuve,Bac+2,4545.78,AG010,2023-01-17,Actif
CLI000038,Y823688,Rachid,Fassi,M,1965-09-22,Kénitra,Rabat-Salé-Kénitra,+212635708194,rachid.222@gmail.com,Retraité,Veuf/Veuve,Bac+2,11724.04,AG019,2022-01-07,Blacklisté
CLI000039,W660081,Meryem,Idrissi,F,1981-07-30,Oujda,Oriental,+212646817443,meryem.47@gmail.com,Salarié secteur privé,Divorcé(e),Doctorat,5822.31,AG005,2015-02-07,Actif
CLI000040,P601968,Meryem,Benkirane,F,2006-07-02,Casablanca,Casablanca-Settat,+212655728776,meryem.189@gmail.com,Salarié secteur privé,Divorcé(e),Bac+3,10602.9,AG004,2016-05-18,Inactif
CLI000041,J189318,Latifa,Benjelloun,F,2006-10-07,Marrakech,Marrakech-Safi,+212625898299,latifa.572@gmail.com,Auto-entrepreneur,Veuf/Veuve,Bac+5,12228.33,AG020,2011-03-16,Actif
CLI000042,J717113,Hicham,Zniber,M,1995-06-02,Béni Mellal,Béni Mellal-Khénifra,+212650987442,hicham.583@gmail.com,Profession libérale,Célibataire,Bac+5,13954.62,AG004,2019-12-06,Inactif
CLI000043,F102805,Rachid,Zniber,M,1962-04-14,Tétouan,Tanger-Tétouan-Al Hoceïma,+212670465583,rachid.706@gmail.com,Profession libérale,Veuf/Veuve,Bac+2,8322.57,AG002,2013-07-10,Actif
CLI000044,Z929683,Sanaa,Cherkaoui,F,1975-12-10,Marrakech,Marrakech-Safi,+212689160218,sanaa.678@gmail.com,Auto-entrepreneur,Marié(e),Bac+3,13058.67,AG004,2015-12-08,Actif
CLI000045,X964278,Hamid,El Filali,M,1961-05-28,Tanger,Tanger-Tétouan-Al Hoceïma,+212648736657,hamid.450@gmail.com,Salarié secteur privé,Veuf/Veuve,Doctorat,9728.76,AG010,2011-05-04,Actif
CLI000046,T141797,Siham,Zniber,F,1994-04-10,Khouribga,Béni Mellal-Khénifra,+212653261270,siham.619@gmail.com,Commerçant,Célibataire,Sans diplôme,10962.24,AG008,2011-10-21,Blacklisté
CLI000047,I290305,Hamid,El Filali,M,1970-09-19,Rabat,Rabat-Salé-Kénitra,+212668503492,hamid.651@gmail.com,Auto-entrepreneur,Veuf/Veuve,Sans diplôme,3708.4,AG016,2020-07-21,Actif
CLI000048,N827369,Samira,Lahlou,F,1969-06-05,Fès,Fès-Meknès,+212648683937,samira.679@gmail.com,Artisan,Célibataire,Bac+3,7486.21,AG003,2017-05-25,Actif
CLI000049,N156837,Meryem,Chraibi,F,2001-03-02,Béni Mellal,Béni Mellal-Khénifra,+212679583757,meryem.371@gmail.com,Profession libérale,Veuf/Veuve,Doctorat,5257.46,AG015,2010-01-10,Actif
CLI000050,W608257,Hamid,Alaoui,M,1980-11-03,Tanger,Tanger-Tétouan-Al Hoceïma,+212613874790,hamid.997@gmail.com,Retraité,Marié(e),Doctorat,3815.7,AG006,2019-10-30,Actif
CLI000051,O223172,Driss,Cherkaoui,M,1963-05-13,Nador,Oriental,+212630665654,driss.511@gmail.com,Retraité,Divorcé(e),Bac+5,16827.72,AG009,2015-01-15,Actif
CLI000052,E502219,Latifa,Chraibi,F,1995-12-24,Meknès,Fès-Meknès,+212690447099,latifa.521@gmail.com,Retraité,Marié(e),Sans diplôme,7570.19,AG009,2022-05-13,Actif
CLI000053,S708093,Samira,Naciri,F,1978-12-20,Berrechid,Casablanca-Settat,+212675718414,samira.887@gmail.com,Fonctionnaire,Veuf/Veuve,Bac+5,7309.86,AG016,2010-01-22,Actif
CLI000054,S501574,Sanaa,Benjelloun,F,1971-12-04,Kénitra,Rabat-Salé-Kénitra,+212665133300,sanaa.45@gmail.com,Commerçant,Veuf/Veuve,Doctorat,11297.17,AG013,2015-05-11,Actif
CLI000055,D986088,Mehdi,Benkirane,M,1966-04-29,Rabat,Rabat-Salé-Kénitra,+212623383077,mehdi.539@gmail.com,Artisan,Célibataire,Doctorat,11508.34,AG005,2021-04-07,Actif
CLI000056,T826353,Youssef,Kettani,M,1978-10-11,Khouribga,Béni Mellal-Khénifra,+212697219599,youssef.83@gmail.com,Auto-entrepreneur,Divorcé(e),Doctorat,7223.97,AG018,2017-08-05,Actif
CLI000057,H883041,Latifa,Tazi,F,1961-02-20,Rabat,Rabat-Salé-Kénitra,+212668246664,latifa.101@gmail.com,Auto-entrepreneur,Célibataire,Bac+3,2000,AG006,2015-04-08,Actif
CLI000058,L493049,Ahmed,Zniber,M,1960-01-13,Kénitra,Rabat-Salé-Kénitra,+212629538047,ahmed.251@gmail.com,Profession libérale,Veuf/Veuve,Bac+5,2000,AG006,2016-07-31,Actif
CLI000059,O768891,Soufiane,Skalli,M,1976-08-09,Béni Mellal,Béni Mellal-Khénifra,+212671682508,soufiane.262@gmail.com,Retraité,Célibataire,Bac+3,9897.97,AG010,2021-02-28,Actif
CLI000060,J769975,Youssef,Zniber,M,1986-01-01,Settat,Casablanca-Settat,+212643567615,youssef.468@gmail.com,Auto-entrepreneur,Divorcé(e),Baccalauréat,6842.31,AG013,2023-03-07,Inactif
CLI000061,J123005,Abdelkader,Naciri,M,2006-04-23,Béni Mellal,Béni Mellal-Khénifra,+212663124147,abdelkader.282@gmail.com,Salarié secteur privé,Célibataire,Bac+5,2000,AG016,2018-01-19,Inactif
CLI000062,T362801,Leila,Naciri,F,1974-08-25,El Jadida,Casablanca-Settat,+212698473848,leila.698@gmail.com,Auto-entrepreneur,Marié(e),Doctorat,2317.46,AG004,2014-04-07,Inactif
CLI000063,J442589,Karim,El Ghazi,M,1957-12-29,Settat,Casablanca-Settat,+212665767881,karim.180@gmail.com,Fonctionnaire,Marié(e),Bac+5,6597.23,AG012,2022-12-31,Actif
CLI000064,X455168,Nadia,Alaoui,F,1998-03-25,Tétouan,Tanger-Tétouan-Al Hoceïma,+212672858374,nadia.987@gmail.com,Salarié secteur privé,Marié(e),Baccalauréat,9593.93,AG013,2016-08-14,Blacklisté
CLI000065,V885395,Aisha,Naciri,F,1956-04-01,Béni Mellal,Béni Mellal-Khénifra,+212645186708,aisha.599@gmail.com,Artisan,Divorcé(e),Sans diplôme,3710.08,AG008,2015-12-07,Actif
CLI000066,W416869,Karima,Cherkaoui,F,1960-09-02,Meknès,Fès-Meknès,+212664800542,karima.120@gmail.com,Fonctionnaire,Célibataire,Sans diplôme,6996.49,AG010,2020-05-31,Blacklisté
CLI000067,X830316,Omar,Moussaoui,M,2003-03-24,Meknès,Fès-Meknès,+212666254240,omar.602@gmail.com,Retraité,Marié(e),Bac+3,5053.12,AG021,2013-01-16,Actif
CLI000068,W488528,Karima,Chraibi,F,1980-02-05,Nador,Oriental,+212669509870,karima.456@gmail.com,Fonctionnaire,Divorcé(e),Sans diplôme,10480.41,AG012,2010-09-26,Actif
CLI000069,O196126,Khadija,Naciri,F,1979-10-02,Béni Mellal,Béni Mellal-Khénifra,+212638468360,khadija.658@gmail.com,Retraité,Célibataire,Sans diplôme,17564.85,AG011,2014-04-04,Actif
CLI000070,G714867,Amine,Chraibi,M,1961-02-26,Oujda,Oriental,+212641272553,amine.337@gmail.com,Auto-entrepreneur,Marié(e),Bac+5,6063.48,AG001,2022-06-07,Actif
CLI000071,A475644,Khalid,Benjelloun,M,1970-08-27,Tétouan,Tanger-Tétouan-Al Hoceïma,+212689034501,khalid.332@gmail.com,Salarié secteur privé,Marié(e),Bac+2,7515.28,AG002,2012-06-19,Actif
CLI000072,O915809,Siham,El Ouazzani,F,1960-09-13,Fès,Fès-Meknès,+212678885632,siham.608@gmail.com,Salarié secteur privé,Veuf/Veuve,Bac+5,7224.87,AG008,2020-09-06,Inactif
CLI000073,M546980,Hicham,Naciri,M,1996-02-04,Salé,Rabat-Salé-Kénitra,+212624490391,hicham.503@gmail.com,Retraité,Veuf/Veuve,Sans diplôme,12238.08,AG003,2010-09-13,Actif
CLI000074,R846746,Youssef,Benhaddou,M,1979-09-03,Tanger,Tanger-Tétouan-Al Hoceïma,+212661124122,youssef.612@gmail.com,Profession libérale,Divorcé(e),Bac+3,9703.45,AG017,2023-02-17,Actif
CLI000075,O518098,Omar,Zniber,M,1993-08-01,Oujda,Oriental,+212622762205,omar.321@gmail.com,Artisan,Divorcé(e),Doctorat,11153.63,AG009,2020-02-17,Actif
CLI000076,C552855,Mehdi,Alaoui,M,1963-03-09,Marrakech,Marrakech-Safi,+212660015814,mehdi.832@gmail.com,Fonctionnaire,Célibataire,Bac+5,5326.73,AG018,2011-12-01,Actif
CLI000077,L208633,Bilal,El Filali,M,1992-12-10,El Jadida,Casablanca-Settat,+212678103759,bilal.218@gmail.com,Fonctionnaire,Veuf/Veuve,Baccalauréat,13311.49,AG004,2011-02-26,Actif
CLI000078,Z549956,Meryem,Moussaoui,F,2006-07-04,Tétouan,Tanger-Tétouan-Al Hoceïma,+212693446356,meryem.629@gmail.com,Retraité,Célibataire,Bac+5,6931.28,AG009,2015-01-27,Actif
CLI000079,V520252,Hanane,Tazi,F,1986-06-29,Kénitra,Rabat-Salé-Kénitra,+212629042093,hanane.759@gmail.com,Retraité,Célibataire,Sans diplôme,8929.25,AG017,2010-02-20,Actif
CLI000080,J856648,Sanaa,Benhaddou,F,1969-02-13,Kénitra,Rabat-Salé-Kénitra,+212686181117,sanaa.611@gmail.com,Salarié secteur privé,Célibataire,Baccalauréat,10020.9,AG006,2018-04-20,Actif
CLI000081,I326040,Youssef,Bakkali,M,1994-10-02,Tétouan,Tanger-Tétouan-Al Hoceïma,+212678765957,youssef.117@gmail.com,Commerçant,Veuf/Veuve,Sans diplôme,3696.5,AG010,2019-07-06,Actif
CLI000082,M728437,Siham,El Amrani,F,1959-01-28,Salé,Rabat-Salé-Kénitra,+212611031743,siham.210@gmail.com,Commerçant,Marié(e),Baccalauréat,8388.76,AG009,2014-12-12,Actif
CLI000083,H624563,Mohammed,Moussaoui,M,1993-08-20,Khouribga,Béni Mellal-Khénifra,+212699663907,mohammed.826@gmail.com,Commerçant,Célibataire,Bac+3,11395.4,AG002,2013-12-10,Actif
CLI000084,S524068,Aisha,Tahiri,F,2006-08-27,Kénitra,Rabat-Salé-Kénitra,+212695918360,aisha.428@gmail.com,Commerçant,Célibataire,Bac+3,11578.86,AG001,2019-08-18,Blacklisté
CLI000085,N717476,Soufiane,Kettani,M,1987-06-19,Settat,Casablanca-Settat,+212680325062,soufiane.81@gmail.com,Artisan,Divorcé(e),Doctorat,6255.38,AG011,2011-12-23,Actif
CLI000086,Q303322,Youssef,Bakkali,M,1965-03-25,Berrechid,Casablanca-Settat,+212656892354,youssef.360@gmail.com,Retraité,Marié(e),Baccalauréat,8732.79,AG004,2021-11-25,Actif
CLI000087,O891093,Hassan,El Filali,M,1961-10-05,Tanger,Tanger-Tétouan-Al Hoceïma,+212687774890,hassan.460@gmail.com,Retraité,Divorcé(e),Doctorat,13363.5,AG011,2013-12-22,Actif
CLI000088,S158900,Mehdi,El Ouazzani,M,1982-03-02,Settat,Casablanca-Settat,+212678093604,mehdi.76@gmail.com,Commerçant,Veuf/Veuve,Bac+3,6305.31,AG002,2016-02-29,Actif
CLI000089,Z874814,Aisha,El Amrani,F,2008-04-18,Marrakech,Marrakech-Safi,+212670362235,aisha.931@gmail.com,Auto-entrepreneur,Marié(e),Bac+2,4057.4,AG020,2021-05-16,Actif
CLI000090,W188425,Ahmed,Senhaji,M,1964-04-14,Settat,Casablanca-Settat,+212696721710,ahmed.177@gmail.com,Salarié secteur privé,Marié(e),Doctorat,11498.72,AG015,2017-09-14,Blacklisté
CLI000091,T154909,Samir,Cherkaoui,M,1980-05-18,El Jadida,Casablanca-Settat,+212696879854,samir.343@gmail.com,Salarié secteur privé,Divorcé(e),Sans diplôme,4945.53,AG018,2018-09-09,Actif
CLI000092,S795847,Imane,Idrissi,F,1984-11-27,Tanger,Tanger-Tétouan-Al Hoceïma,+212656952151,imane.318@gmail.com,Retraité,Veuf/Veuve,Baccalauréat,9971.72,AG020,2011-10-30,Actif
CLI000093,X818709,Karim,Senhaji,M,1984-06-20,Béni Mellal,Béni Mellal-Khénifra,+212622543044,karim.662@gmail.com,Retraité,Veuf/Veuve,Bac+5,4383.41,AG012,2012-11-12,Actif
CLI000094,G337547,Nadia,Idrissi,F,1985-08-28,Oujda,Oriental,+212630796389,nadia.80@gmail.com,Commerçant,Célibataire,Bac+5,2000,AG018,2020-11-27,Inactif
CLI000095,W908554,Nabil,Bensouda,M,2008-07-31,Tanger,Tanger-Tétouan-Al Hoceïma,+212632218290,nabil.739@gmail.com,Artisan,Célibataire,Bac+3,9429.93,AG012,2018-06-14,Actif
CLI000096,R350786,Adil,Berrada,M,1995-04-11,Salé,Rabat-Salé-Kénitra,+212672950208,adil.926@gmail.com,Auto-entrepreneur,Marié(e),Bac+2,10082.97,AG019,2015-04-01,Blacklisté
CLI000097,G940181,Hanane,Bensouda,F,2000-02-13,Béni Mellal,Béni Mellal-Khénifra,+212628575536,hanane.894@gmail.com,Commerçant,Célibataire,Doctorat,5925.32,AG016,2021-10-30,Inactif
CLI000098,Y268099,Hicham,Skalli,M,1980-07-28,Fès,Fès-Meknès,+212670306604,hicham.928@gmail.com,Profession libérale,Marié(e),Bac+3,9163.4,AG003,2011-11-19,Inactif
CLI000099,H504924,Adil,Tazi,M,1957-05-23,El Jadida,Casablanca-Settat,+212660319927,adil.230@gmail.com,Salarié secteur privé,Divorcé(e),Sans diplôme,12461.3,AG021,2019-04-22,Actif
CLI000100,W971482,Khalid,Idrissi,M,1980-09-26,Rabat,Rabat-Salé-Kénitra,+212672962895,khalid.460@gmail.com,Profession libérale,Célibataire,Sans diplôme,9551.19,AG001,2020-08-06,Actif
CLI000101,D150068,Driss,Benjelloun,M,1992-12-21,Berrechid,Casablanca-Settat,+212666348030,driss.655@gmail.com,Auto-entrepreneur,Veuf/Veuve,Sans diplôme,8482.39,AG004,2012-06-29,Inactif
CLI000102,H853448,Karima,Idrissi,F,2001-03-27,Casablanca,Casablanca-Settat,+212649093864,karima.440@gmail.com,Salarié secteur privé,Divorcé(e),Baccalauréat,5093.1,AG019,2022-11-24,Actif
CLI000103,Q681070,Hicham,Benali,M,1961-01-26,El Jadida,Casablanca-Settat,+212662405812,hicham.895@gmail.com,Artisan,Célibataire,Doctorat,2000,AG013,2021-10-19,Blacklisté
CLI000104,H868544,Fatima,Naciri,F,1961-01-22,El Jadida,Casablanca-Settat,+212694323222,fatima.107@gmail.com,Auto-entrepreneur,Divorcé(e),Baccalauréat,6078.1,AG002,2017-09-25,Actif
CLI000105,Y579911,Nadia,El Amrani,F,1997-12-06,Settat,Casablanca-Settat,+212649385195,nadia.207@gmail.com,Salarié secteur privé,Marié(e),Sans diplôme,8544.26,AG011,2014-02-02,Inactif
CLI000106,Y778324,Wafa,Chraibi,F,1977-09-22,Khouribga,Béni Mellal-Khénifra,+212648401154,wafa.366@gmail.com,Auto-entrepreneur,Célibataire,Doctorat,6662.27,AG011,2010-10-27,Actif
CLI000107,W621691,Houda,El Ouazzani,F,1994-06-14,Béni Mellal,Béni Mellal-Khénifra,+212679696025,houda.274@gmail.com,Auto-entrepreneur,Célibataire,Doctorat,6634.78,AG014,2018-09-03,Actif
CLI000108,C443848,Driss,Naciri,M,1983-10-26,Salé,Rabat-Salé-Kénitra,+212649680122,driss.314@gmail.com,Artisan,Veuf/Veuve,Baccalauréat,10180.31,AG015,2012-04-20,Actif
CLI000109,L638009,Samir,El Ghazi,M,1979-08-19,Nador,Oriental,+212631473054,samir.976@gmail.com,Salarié secteur privé,Marié(e),Bac+5,13076.7,AG015,2011-04-15,Actif
CLI000110,S133958,Abdelkader,Bensouda,M,1987-06-28,El Jadida,Casablanca-Settat,+212630594121,abdelkader.696@gmail.com,Artisan,Divorcé(e),Bac+2,10588.36,AG015,2018-08-03,Actif
CLI000111,D127172,Hicham,El Ghazi,M,1990-09-16,El Jadida,Casablanca-Settat,+212634970946,hicham.512@gmail.com,Profession libérale,Veuf/Veuve,Bac+5,6211.44,AG004,2017-01-19,Actif
CLI000112,G228594,Sanaa,Idrissi,F,1980-08-14,Oujda,Oriental,+212619939096,sanaa.463@gmail.com,Fonctionnaire,Veuf/Veuve,Sans diplôme,5552.49,AG011,2021-01-06,Actif
CLI000113,U282547,Driss,El Ouazzani,M,1981-11-28,Salé,Rabat-Salé-Kénitra,+212678284040,driss.230@gmail.com,Salarié secteur privé,Marié(e),Baccalauréat,5823.12,AG008,2013-07-14,Actif
CLI000114,E741674,Samir,Tazi,M,1996-12-06,El Jadida,Casablanca-Settat,+212618824561,samir.317@gmail.com,Artisan,Veuf/Veuve,Bac+5,2000,AG014,2022-05-17,Actif
CLI000115,E969325,Khalid,Bakkali,M,1961-08-27,Kénitra,Rabat-Salé-Kénitra,+212683994695,khalid.656@gmail.com,Profession libérale,Marié(e),Baccalauréat,3282.63,AG014,2020-02-04,Actif
CLI000116,F269834,Omar,Benhaddou,M,1968-09-23,Berrechid,Casablanca-Settat,+212640262109,omar.355@gmail.com,Profession libérale,Divorcé(e),Sans diplôme,9028.56,AG009,2016-10-27,Actif
CLI000117,S261684,Zineb,Fassi,F,2002-11-11,Salé,Rabat-Salé-Kénitra,+212698413629,zineb.640@gmail.com,Retraité,Divorcé(e),Bac+5,5569.27,AG002,2012-02-05,Inactif
CLI000118,U321048,Youssef,Bakkali,M,2006-09-29,Rabat,Rabat-Salé-Kénitra,+212686790955,youssef.427@gmail.com,Profession libérale,Célibataire,Bac+3,7960.7,AG021,2015-12-09,Actif
CLI000119,F560959,Latifa,Zniber,F,1991-06-07,Meknès,Fès-Meknès,+212674995086,latifa.476@gmail.com,Fonctionnaire,Divorcé(e),Bac+5,2148.21,AG005,2016-09-02,Actif
CLI000120,Q688933,Naima,Alaoui,F,1966-09-24,Béni Mellal,Béni Mellal-Khénifra,+212652831009,naima.248@gmail.com,Artisan,Célibataire,Bac+2,9758.31,AG015,2018-04-24,Actif
CLI000121,F952993,Ahmed,Benhaddou,M,1989-06-18,Salé,Rabat-Salé-Kénitra,+212687535841,ahmed.739@gmail.com,Commerçant,Marié(e),Baccalauréat,8087.05,AG016,2019-05-19,Blacklisté
CLI000122,C512344,Latifa,Senhaji,F,1999-08-15,Salé,Rabat-Salé-Kénitra,+212671368457,latifa.990@gmail.com,Fonctionnaire,Marié(e),Bac+5,16009.04,AG012,2010-07-09,Actif
CLI000123,E377319,Latifa,El Ghazi,F,1980-08-20,Khouribga,Béni Mellal-Khénifra,+212659093843,latifa.783@gmail.com,Artisan,Divorcé(e),Sans diplôme,9905.16,AG013,2022-01-14,Actif
CLI000124,Q572230,Samir,Bakkali,M,1961-08-06,Salé,Rabat-Salé-Kénitra,+212683800569,samir.287@gmail.com,Auto-entrepreneur,Célibataire,Baccalauréat,8097.97,AG004,2018-08-31,Actif
CLI000125,B147504,Wafa,El Amrani,F,1967-12-11,El Jadida,Casablanca-Settat,+212628392710,wafa.731@gmail.com,Commerçant,Veuf/Veuve,Bac+5,4758.94,AG015,2014-06-19,Actif
CLI000126,T875232,Nabil,Berrada,M,1969-07-30,Kénitra,Rabat-Salé-Kénitra,+212689688374,nabil.345@gmail.com,Profession libérale,Veuf/Veuve,Doctorat,5567.72,AG019,2018-10-25,Actif
CLI000127,X821466,Samir,Cherkaoui,M,1964-10-31,Kénitra,Rabat-Salé-Kénitra,+212613576520,samir.612@gmail.com,Artisan,Divorcé(e),Doctorat,2000,AG019,2019-05-06,Actif
CLI000128,U856215,Amine,Bensouda,M,1970-04-19,Khouribga,Béni Mellal-Khénifra,+212661028283,amine.152@gmail.com,Auto-entrepreneur,Marié(e),Sans diplôme,4415.42,AG019,2021-10-04,Inactif
